"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PODXL2",1791.68531315011,-4.58959665449046,0.200938672188354,-22.8407832325492,1.80461923877393e-115,4.06617507703548e-113
"ASRGL1",1484.96497483402,-8.48756669780219,0.372417498266668,-22.7904616117815,5.70113857630028e-115,1.27223100075747e-112
"COL16A1",3117.53628206656,5.80883844003816,0.255422507342291,22.7420774327211,1.71896988685564e-114,3.79941458420434e-112
"TRIM36",681.312716203286,-5.38561894906533,0.237318383856954,-22.6936441313015,5.1766077819352e-114,1.13338408870898e-111
"RND3",2080.86005209062,7.24089850379901,0.319556600543895,22.659204946713,1.13205585780838e-113,2.4553974157025e-111
"IL4R",3373.00360622653,5.71036169563695,0.252017518059684,22.6585903218227,1.1479629981957e-113,2.46684493167831e-111
"KANK1",1527.2071618357,4.61535857987674,0.203857553790884,22.6401155809568,1.74585171961753e-113,3.71722263384254e-111
"TNS4",14350.0740471374,6.72186946745022,0.296912525906745,22.6392249600188,1.78148106860894e-113,3.75860114911602e-111
"TACSTD2",5094.29770627924,6.48000236940491,0.286860864862906,22.589356594535,5.51449140125883e-113,1.15297582378752e-110
"TMEM256-PLSCR3",2050.46432927873,3.34782136203201,0.148245941248447,22.5828871525148,6.3839329396474e-113,1.32284210413694e-110
"EFNB1",3996.95807169983,5.1355049226396,0.227553616396317,22.5683291875063,8.87360923457859e-113,1.82246657624867e-110
"TNFRSF12A",3909.90257652474,4.71678294302971,0.209310772580094,22.5348312697322,1.89156988434214e-112,3.85083805928178e-110
"TGFBR2",8019.62326924838,8.70190657152554,0.387818496106231,22.4380906503797,1.67273749967284e-111,3.37572972977455e-109
"FN1",55857.2540084253,3.89825508037462,0.174010271162692,22.4024424209414,3.72582404544918e-111,7.45421762472281e-109
"LRRC8C",1330.92525262964,4.89961936407458,0.219371808261435,22.3347721975081,1.69792152379815e-110,3.36797972002628e-108
"CTSC",4923.81143142017,3.8269989913331,0.172354114251243,22.2042798801682,3.12257548395337e-109,6.14141795182965e-107
"LOXL2",1918.49155336235,7.43426099522201,0.335619788828723,22.1508422407594,1.02386982294248e-108,1.99680427318059e-106
"GPC1",5371.469123756,3.8214086120244,0.172800071121582,22.1146240694291,2.2860519898891e-108,4.42122454844553e-106
"UBASH3B",1549.86683802504,7.09029791714811,0.320671605226307,22.1107756395964,2.4895421400101e-108,4.77498297399623e-106
"CNN3",3022.19545010042,9.84743163709961,0.445403601834179,22.1090076428384,2.58899215594647e-108,4.92502704550865e-106
"PRKACB",5078.28577932976,-3.5680252338947,0.161492887993324,-22.0940084621076,3.60906625500083e-108,6.80969184114304e-106
"PLAUR",1058.81824530541,6.33565906400685,0.287868360615721,22.0088760378373,2.36789563600313e-107,4.43178402583553e-105
"NGEF",460.267761371489,-5.45439228641856,0.249524579287444,-21.8591382940888,6.36340728535341e-106,1.18145565022785e-103
"S100A6",12133.9125691413,13.2408704078546,0.606643765196053,21.8264345032466,1.30188318412625e-105,2.39794483628588e-103
"VASP",3111.79647543947,3.51106889343853,0.161000960298194,21.8077512515179,1.95869582254694e-105,3.57932383068263e-103
